Country,Democracy Indices,Democracy Indices,Democracy Component Indices,Democracy Component Indices,Democracy Component Indices,Democracy Component Indices
Country,Electoral,Liberal,Liberal,Egalitarian,Participatory,Deliberative
Denmark,0.915,0.883,0.977,0.972,0.716,0.967
Ireland,0.896,0.831,0.933,0.875,0.634,0.905
Estonia,0.895,0.845,0.955,0.887,0.638,0.85
Belgium,0.895,0.814,0.909,0.931,0.648,0.91
Switzerland,0.89,0.844,0.962,0.931,0.882,0.98
New Zealand,0.886,0.831,0.95,0.866,0.703,0.831
Norway,0.886,0.836,0.955,0.961,0.655,0.988
Sweden,0.884,0.852,0.98,0.903,0.651,0.905
Luxembourg,0.878,0.798,0.91,0.939,0.578,0.975
France,0.877,0.81,0.93,0.811,0.632,0.939
Czech Republic,0.871,0.805,0.933,0.913,0.585,0.88
Costa Rica,0.868,0.816,0.953,0.886,0.648,0.945
Finland,0.86,0.82,0.972,0.896,0.637,0.942
Canada,0.856,0.755,0.882,0.777,0.648,0.822
Germany,0.856,0.812,0.967,0.941,0.662,0.976
Australia,0.854,0.804,0.957,0.832,0.704,0.921
Netherlands,0.854,0.8,0.951,0.891,0.62,0.943
United Kingdom,0.852,0.772,0.914,0.81,0.66,0.843
Latvia,0.852,0.768,0.908,0.862,0.674,0.825
United States,0.848,0.772,0.92,0.651,0.657,0.838
Portugal,0.845,0.751,0.887,0.795,0.611,0.872
Uruguay,0.845,0.77,0.922,0.821,0.768,0.849
Austria,0.844,0.773,0.926,0.893,0.65,0.827
Spain,0.843,0.757,0.902,0.841,0.645,0.828
Argentina,0.84,0.69,0.803,0.769,0.616,0.696
Chile,0.838,0.786,0.956,0.723,0.661,0.939
Italy,0.837,0.757,0.911,0.904,0.747,0.911
Iceland,0.834,0.744,0.896,0.87,0.659,0.845
Slovakia,0.823,0.739,0.909,0.792,0.686,0.583
Taiwan,0.823,0.722,0.878,0.913,0.751,0.897
Japan,0.818,0.731,0.901,0.927,0.565,0.9
Lithuania,0.798,0.735,0.938,0.868,0.692,0.822
Jamaica,0.798,0.678,0.847,0.829,0.59,0.807
Barbados,0.796,0.678,0.849,0.825,0.295,0.887
Vanuatu,0.796,0.691,0.872,0.764,0.556,0.754
Brazil,0.784,0.692,0.887,0.592,0.643,0.925
Malta,0.779,0.64,0.807,0.894,0.653,0.803
Cyprus,0.774,0.636,0.817,0.869,0.574,0.837
Slovenia,0.758,0.653,0.864,0.884,0.71,0.867
Cape Verde,0.754,0.648,0.863,0.725,0.538,0.695
Trinidad and Tobago,0.753,0.635,0.84,0.788,0.577,0.928
Suriname,0.753,0.631,0.837,0.713,0.572,0.773
Greece,0.751,0.582,0.752,0.835,0.641,0.868
Seychelles,0.743,0.659,0.894,0.831,0.288,0.942
Croatia,0.733,0.639,0.879,0.768,0.625,0.68
Panama,0.73,0.571,0.76,0.541,0.518,0.737
Israel,0.723,0.634,0.889,0.762,0.603,0.759
Moldova,0.713,0.608,0.86,0.8,0.665,0.93
Colombia,0.704,0.565,0.793,0.528,0.648,0.695
South Korea,0.703,0.604,0.863,0.863,0.61,0.844
Peru,0.699,0.576,0.819,0.519,0.622,0.506
East Timor,0.698,0.507,0.692,0.555,0.554,0.72
South Africa,0.687,0.584,0.851,0.629,0.563,0.865
Dominican Republic,0.685,0.438,0.577,0.46,0.595,0.837
Nepal,0.681,0.523,0.742,0.592,0.614,0.555
São Tomé and Príncipe,0.675,0.563,0.835,0.67,0.561,0.678
Kosovo,0.674,0.494,0.702,0.685,0.524,0.6
Romania,0.669,0.501,0.72,0.674,0.657,0.35
Bulgaria,0.666,0.588,0.898,0.76,0.663,0.914
Ghana,0.661,0.562,0.858,0.683,0.381,0.854
Ecuador,0.646,0.467,0.689,0.488,0.759,0.54
Namibia,0.646,0.519,0.792,0.425,0.486,0.706
Lesotho,0.644,0.503,0.758,0.727,0.531,0.689
The Gambia,0.641,0.517,0.798,0.659,0.592,0.728
Liberia,0.639,0.436,0.638,0.561,0.469,0.836
Armenia,0.634,0.422,0.611,0.811,0.442,0.69
Solomon Islands,0.619,0.481,0.759,0.517,0.514,0.495
Senegal,0.617,0.459,0.719,0.688,0.582,0.844
Georgia,0.604,0.473,0.761,0.784,0.542,0.803
Maldives,0.599,0.453,0.728,0.61,0.49,0.782
Poland,0.588,0.444,0.729,0.877,0.555,0.719
Bolivia,0.586,0.353,0.53,0.595,0.632,0.541
Montenegro,0.581,0.467,0.785,0.771,0.561,0.759
Malawi,0.58,0.485,0.83,0.479,0.567,0.753
Sri Lanka,0.58,0.421,0.688,0.625,0.549,0.61
Paraguay,0.579,0.426,0.697,0.315,0.535,0.493
Kenya,0.564,0.456,0.789,0.59,0.603,0.833
North Macedonia,0.56,0.359,0.584,0.598,0.61,0.64
Botswana,0.558,0.434,0.753,0.658,0.432,0.587
Indonesia,0.541,0.36,0.604,0.445,0.595,0.816
Mexico,0.534,0.299,0.476,0.452,0.654,0.545
Honduras,0.534,0.394,0.695,0.389,0.544,0.675
Zambia,0.529,0.424,0.771,0.582,0.652,0.883
Mongolia,0.527,0.405,0.732,0.607,0.398,0.769
Bhutan,0.527,0.445,0.819,0.831,0.558,0.921
Guyana,0.512,0.332,0.578,0.686,0.513,0.38
Bosnia and Herzegovina,0.512,0.346,0.616,0.655,0.527,0.678
Albania,0.51,0.402,0.75,0.706,0.555,0.444
Malaysia,0.506,0.359,0.655,0.726,0.533,0.662
